Directory,rmsT,rmsW,TBDrms
s11895,8.521593075159168e-15,302910054341730.94,2.5812762214745817
s6816,4.521141566718735e-15,113373103909465.94,0.5125758526330088
s13324,8.096319091190615e-15,31009028615914.145,0.2510589903823018
s15797,7.34377920253259e-15,151152791301240.3,1.1100327251627977
s15730,8.132305399051176e-15,101990741837617.12,0.8294198604992884
s18854,1.0260211397136377e-14,181991657631872.38,1.8672728798182783
s5253,9.665838220610143e-15,192031137165567.97,1.8561419051621757
s11587,7.093446199741327e-15,75404534848481.89,0.5348780111642263
s16067,5.712562633811223e-15,215338301060380.97,1.230133532265924
s5599,6.9745279606190465e-15,254886384115657.38,1.7777122127957388
s817,2.131506278389474e-14,250016186358005.56,5.329110709210815
s16331,1.5769525520720324e-14,176101072405703.66,2.777030355527961
s8394,1.411388485186314e-14,57750239474893.164,0.8150802301161634
s19628,7.764916536976138e-15,131172915151252.02,1.0185467380613247
s13384,5.248019857565628e-15,119747230351610.33,0.6284358427737364
s12457,8.819970785677013e-15,187983326323985.88,1.658007446371944
s10894,9.914481519416312e-15,170053041141532.84,1.6859877337182692
s1254,9.637758136998167e-15,134272074427554.0,1.294081777885782
s6684,1.8326844188775705e-14,237469905131866.75,4.35207395087507
s12352,4.9805521244584324e-15,62149695263581.336,0.3095397967794742
s2710,4.947064847850892e-15,75630498369037.11,0.3741489799069077
s10291,6.8396479463904685e-15,68190964059110.83,0.4664021872892836
s11276,3.3151317859066224e-14,128322011734480.97,4.254043799324605
s1864,7.108952626451049e-15,161260211464054.06,1.1463912038294386
s13452,1.1485066215135242e-14,132756803458103.95,1.5247206782260192
s18478,1.5297902490305825e-14,139315821229598.1,2.1312398485272697
s6366,2.235225272396856e-14,186554090863950.38,4.169904185681213
s1583,6.168017601398905e-15,174806058110070.8,1.0782068432540766
s7437,1.1307547040093667e-14,140168053216300.0,1.5849568552616646
s17966,6.22583608645348e-15,135893958161713.06,0.8460535086541926
s4989,1.1702225647107747e-14,160954058334530.7,1.8835207094484214
s10757,1.3220488261732704e-14,139817505173453.23,1.8484556859303902
s18251,8.337355566326576e-15,70365185702041.76,0.5866595726885211
s9755,6.159759420307595e-15,125189441631408.4,0.7711368424121158
s15812,9.862104866575856e-15,126799839188966.92,1.2505133111465465
s6622,8.311264846598568e-15,177321614960870.88,1.4737669049663729
s156,7.32262722464104e-15,143535683716213.97,1.051058305287814
s6364,8.360337168381481e-15,153906063103728.22,1.2867065798053647
s171,6.0274951266660824e-15,161485721985107.94,0.9733544022913919
s19363,4.563312085740957e-15,54926715265746.37,0.25064774360223274
s18050,8.379023134530091e-15,187539610581557.44,1.571398735703634
s19164,1.9624011741325232e-14,130658584884899.69,2.564045603886211
s18222,2.36441610729391e-14,120244822244979.48,2.8430879453472255
s668,9.447096183983788e-15,26826651214542.473,0.2534339543179682
s2459,1.3557912527028989e-14,150692773931346.66,2.0430794474165523
s17280,9.181195321552604e-15,203006411509556.28,1.8638415155967207
s11102,1.0899405021673883e-14,121282487878098.92,1.3219069574196534
s7218,4.730848813828731e-15,204129183036640.62,0.9657043034367192
s11698,9.067662475256967e-15,129352429261195.22,1.1729241688950711
s11721,5.683827695418642e-15,63750043449473.34,0.3623442625422584
s7190,4.692928138402935e-15,123043341778950.81,0.5774335608775677
