Directory,rmsT,rmsW,TBDrms
s11895,8.521593075159168e-15,5.301720741748769e-08,4.517910675931403e-22
s6816,4.521141566718735e-15,2.178485500308461e-08,9.849241347938642e-23
s13324,8.096319091190615e-15,5.792716318479042e-09,4.6899679719153284e-23
s15797,7.34377920253259e-15,2.7101475135461097e-08,1.9902724945775333e-22
s15730,8.132305399051176e-15,1.797876632663571e-08,1.4620881846637908e-22
s18854,1.0260211397136377e-14,3.51059301033384e-08,3.6019426415334564e-22
s5253,9.665838220610143e-15,3.6465166624572134e-08,3.5246640128070666e-22
s11587,7.093446199741327e-15,1.3455963347838257e-08,9.544915207358187e-23
s16067,5.712562633811223e-15,3.1668658360902317e-08,1.8090919441542394e-22
s5599,6.9745279606190465e-15,5.0478655899460294e-08,3.520647969852534e-22
s817,2.131506278389474e-14,5.16083504301975e-08,1.1000352295929008e-21
s16331,1.5769525520720324e-14,3.297926259220892e-08,5.200673231023756e-22
s8394,1.411388485186314e-14,1.254089386325148e-08,1.7700073192536846e-22
s19628,7.764916536976138e-15,2.6682375811109205e-08,2.0718642118149396e-22
s13384,5.248019857565628e-15,2.1972865515352928e-08,1.1531403455219116e-22
s12457,8.819970785677013e-15,3.795053585984634e-08,3.347226175846326e-22
s10894,9.914481519416312e-15,3.156002347561761e-08,3.129012695013558e-22
s1254,9.637758136998167e-15,2.244222877574971e-08,2.162927729958562e-22
s6684,1.8326844188775705e-14,4.2822677839048516e-08,7.848045445023805e-22
s12352,4.9805521244584324e-15,1.143215052334442e-08,5.693842157617162e-23
s2710,4.947064847850892e-15,1.5178522653775928e-08,7.508913586280334e-23
s10291,6.8396479463904685e-15,1.2524838786137715e-08,8.566548788247851e-23
s11276,3.3151317859066224e-14,2.2178526529918894e-08,7.352473826390743e-22
s1864,7.108952626451049e-15,3.125963128028303e-08,2.222232378918594e-22
s13452,1.1485066215135242e-14,2.4568565121043827e-08,2.8217159722605054e-22
s18478,1.5297902490305825e-14,1.953440647690926e-08,2.988354454897564e-22
s6366,2.235225272396856e-14,3.155434791444631e-08,7.053107591237341e-22
s1583,6.168017601398905e-15,2.948005668587417e-08,1.8183350852870936e-22
s7437,1.1307547040093667e-14,2.8390328095305735e-08,3.2102497042136244e-22
s17966,6.22583608645348e-15,2.6056277179417484e-08,1.6222211074225168e-22
s4989,1.1702225647107747e-14,3.2410388870324456e-08,3.7927368387104633e-22
s10757,1.3220488261732704e-14,3.299288170759317e-08,4.361820053359711e-22
s18251,8.337355566326576e-15,1.3650484838155657e-08,1.138089457484536e-22
s9755,6.159759420307595e-15,2.515091658974414e-08,1.5492359539304703e-22
s15812,9.862104866575856e-15,2.207270810132146e-08,2.176833619845507e-22
s6622,8.311264846598568e-15,3.7647199400273506e-08,3.128958449483799e-22
s156,7.32262722464104e-15,2.5114561169010687e-08,1.8390456935111037e-22
s6364,8.360337168381481e-15,2.905575192282084e-08,2.429158827556307e-22
s171,6.0274951266660824e-15,3.013420147220339e-08,1.816337525196798e-22
s19363,4.563312085740957e-15,1.0000108634680581e-08,4.56336165913604e-23
s18050,8.379023134530091e-15,3.210991173316164e-08,2.6904969325988057e-22
s19164,1.9624011741325232e-14,2.252702375120544e-08,4.4207057859076795e-22
s18222,2.36441610729391e-14,1.874151330483651e-08,4.431273593301856e-22
s668,9.447096183983788e-15,5.601558049211761e-09,5.291845767107209e-23
s2459,1.3557912527028989e-14,2.629430585828073e-08,3.56495898785516e-22
s17280,9.181195321552604e-15,3.502765433637551e-08,3.2159573611809258e-22
s11102,1.0899405021673883e-14,2.6308356535324158e-08,2.867454333330991e-22
s7218,4.730848813828731e-15,4.338362760075743e-08,2.052413831746307e-22
s11698,9.067662475256967e-15,2.136580972337119e-08,1.9373795108209336e-22
s11721,5.683827695418642e-15,1.2139312091536557e-08,6.899775826920588e-23
s7190,4.692928138402935e-15,2.2575094936581875e-08,1.059432982550027e-22
s15157,8.390111697822911e-15,1.990521736549848e-08,1.6700699706597656e-22
s1843,1.503698517937904e-14,2.2882443573697826e-08,3.4408296488567134e-22
s2698,5.084745447428649e-15,1.1132996526776086e-08,5.660845340576366e-23
s13806,1.9877325043562655e-14,4.054161580572418e-08,8.058588751616169e-22
s17032,6.537960329187789e-15,3.9129354998153776e-08,2.5582617068463533e-22
s2666,9.491349144444166e-15,4.534138664309454e-08,4.303509313228475e-22
s9546,6.42761326673314e-15,2.199448983399617e-08,1.4137207465202095e-22
s7934,5.394208393430493e-15,1.023915302117775e-08,5.523212516845621e-23
s5182,2.8675233839144676e-14,3.4633509054480004e-08,9.931239708073486e-22
s11435,4.7764119246850515e-15,2.3558594813489757e-08,1.125255531959759e-22
s14964,4.8026293442506096e-15,3.323787151462656e-08,1.5962917707657697e-22
s19049,7.884759961344763e-15,3.000377678832365e-08,2.3657257790969966e-22
s2715,5.657883443304243e-15,8.970133312876227e-09,5.0751968755154247e-23
s4841,1.3013844858275182e-14,3.555865822206349e-08,4.627548614703654e-22
s11069,5.192835872634807e-15,1.7019912705371995e-08,8.838161324556862e-23
s2285,1.9282793717152587e-14,4.780333428569503e-08,9.21781834023145e-22
s18555,4.9579067844377e-15,2.9225011611267784e-08,1.448948833427751e-22
s16493,9.022431155201209e-15,5.441434116325466e-09,4.909496470010964e-23
s2157,7.390419956512101e-15,2.641112482147865e-08,1.951893039545879e-22
s12675,5.874409953879625e-15,3.091168807455826e-08,1.8158792811640715e-22
s15294,1.5613886338417226e-14,3.315820499431259e-08,5.177284439671352e-22
s10911,6.659487417408946e-15,2.278488656672412e-08,1.517356653981894e-22
s4292,1.095526954949172e-14,2.542287831554508e-08,2.785144846707244e-22
s10269,9.606104332119431e-15,2.7144348712262812e-08,2.607514457574283e-22
s18840,7.290686289043354e-15,2.082119501323056e-08,1.518008010044579e-22
s6233,1.514962651526053e-14,1.409693580011266e-08,2.135633123813122e-22
s16289,2.94364795428638e-14,2.7110660462275118e-08,7.980424020912878e-22
s9793,3.483012589034517e-14,3.151198127417429e-08,1.09756627483369e-21
s11848,9.960889469679323e-15,5.109046685000629e-09,5.0890649324722826e-23
s8186,1.0468072608438593e-14,1.7343168958553046e-08,1.8154955191855163e-22
s5680,6.5532046340827055e-15,3.775224511307777e-08,2.473981876220474e-22
s4467,4.885285857032969e-15,3.377137760214569e-08,1.6498283337228232e-22
s7988,1.1018806264998848e-14,6.625181902794154e-09,7.30015958572652e-23
s11693,7.193852857075373e-15,2.8954254793625552e-08,2.082926485716115e-22
s7878,2.8366400972634795e-14,2.0986666493185854e-08,5.953161968246693e-22
s12342,8.051999219663594e-15,5.313839871303115e-08,4.278703449714997e-22
s9316,6.545299029270977e-15,3.6558940475388385e-08,2.39289197604735e-22
s13964,1.839791662862352e-14,2.8510046525833458e-08,5.2452545906046155e-22
s4645,8.589615242173778e-15,3.347432202150221e-08,2.8753154665732875e-22
s12422,7.271476669740253e-15,2.2232409632856777e-08,1.6166244795742651e-22
s14232,5.6447459227725566e-15,2.1392945429711964e-08,1.2075774149046242e-22
s7968,5.331095242300252e-15,2.212223067718588e-08,1.1793571871221433e-22
s16725,5.515225916337109e-15,1.0783885086941702e-08,5.947556251030214e-23
s5595,2.625295194971483e-14,2.9294811735653542e-08,7.690752848720545e-22
s3097,1.3911101206568712e-14,9.139267787009475e-09,1.2713727913902208e-22
s4763,1.0819874893127805e-14,4.222061887324702e-08,4.568218141189634e-22
s16621,8.273222699232106e-15,2.0380359608281335e-08,1.686112537297463e-22
s13194,8.627388370341268e-15,9.343502148918132e-09,8.061002177783494e-23
s2680,1.0687544753860315e-14,1.7537622175145535e-08,1.8743412187316098e-22
s1530,6.670734537117224e-15,2.4005866793801658e-08,1.6013676471484825e-22
s18928,1.1567355376447197e-14,2.7839994600121498e-08,3.2203511121797635e-22
s7976,6.297161969463632e-15,8.172616053941288e-09,5.1464287005907014e-23
s8584,2.132994147617579e-14,2.123468750927226e-08,4.529346418376583e-22
s15590,6.504650599751216e-15,4.583107721493939e-08,2.981151438933998e-22
s11122,4.893150012477316e-15,2.222630441563451e-08,1.0875664172868663e-22
s3526,7.209947651682561e-15,2.106992568413709e-08,1.5191306120747028e-22
s7303,6.278008834837547e-15,1.1269919773549858e-08,7.075265590625638e-23
s565,7.307221121551632e-15,1.732386431088465e-08,1.2658930719939082e-22
s13592,6.295667692368151e-15,3.116061772606972e-08,1.9617689429225144e-22
s17215,7.394044976643365e-15,2.0016198177917814e-08,1.480006695889313e-22
s2109,5.502561284444734e-15,2.0307172951444028e-08,1.1174146367913921e-22
s13892,6.546300269928119e-15,6.733369937483265e-09,4.407866143927258e-23
s5930,4.857092536129993e-15,2.442249447508954e-08,1.1862231562863341e-22
s17669,7.296981424865417e-15,2.3423638451171827e-08,1.7092185468096415e-22
s5203,1.766364300057823e-14,3.218997143504312e-08,5.685921636274126e-22
s16768,7.003864587176677e-15,2.7654990540239945e-08,1.9369180890349256e-22
s10164,9.165424007116346e-15,1.5495080642576574e-08,1.4201898411367512e-22
s5466,5.730541620907802e-15,2.890362555460608e-08,1.656334292358045e-22
s9649,1.656851053360824e-14,3.276573061409823e-08,5.428793528210565e-22
s16610,1.1936254100630087e-14,6.128637598246177e-08,7.315297566334166e-22
s3358,7.977815369573853e-15,1.3558347886931517e-08,1.0816599615839142e-22
s1826,4.633864800568971e-15,1.552618296577269e-08,7.194623273228763e-23
s1727,5.522385031163727e-15,9.20484667769227e-09,5.083270750704496e-23
s413,7.937808447899053e-15,2.4573582015296672e-08,1.9506038691616215e-22
s1689,1.4187837486044379e-14,3.625278803236609e-08,5.143486650192246e-22
s18085,4.823127271108258e-15,2.3494734209355486e-08,1.1331809329258255e-22
s12049,8.080349158499425e-15,3.1919226032139886e-08,2.5791849120875445e-22
s137,5.475646727294398e-15,3.7839354543550326e-08,2.0719493786932377e-22
s13232,7.16709222640432e-15,2.1460615609832914e-08,1.538102113110847e-22
s15359,4.599885440067195e-15,1.0309530841559455e-08,4.742266081201304e-23
s7259,5.214180316834178e-15,2.823399177960866e-08,1.4721712420289345e-22
s13897,2.3780199651392075e-14,3.846557410430085e-08,9.14719031905691e-22
s1628,7.942725693890206e-15,2.904374571248647e-08,2.306865053173798e-22
s17833,1.184098765079738e-14,3.023209943722282e-08,3.579779160938338e-22
s11354,9.110982918500262e-15,4.211374191488189e-08,3.836975832206174e-22
s7989,1.2458043325541925e-14,5.9259217620386764e-08,7.382539005524957e-22
s16276,6.037550087919577e-15,2.561415544524088e-08,1.546467464603998e-22
s2072,8.502381297711542e-15,6.112109616279373e-09,5.1967486491016613e-23
s6492,9.368895491135007e-15,1.3775145126707901e-08,1.2905789506734403e-22
s10278,4.856914697372681e-15,1.0601659746280701e-08,5.149135703825506e-23
s14291,1.088570029955483e-14,2.9337267422928384e-08,3.1935670077389163e-22
s15355,1.5821085289059114e-14,2.4511051771096007e-08,3.8779144059505338e-22
s4519,1.3341930589954215e-14,1.4806173691042019e-08,1.9754294168868882e-22
s17204,1.2538668951939628e-14,3.9977385540930356e-08,5.012632028617836e-22
s9751,1.1472475822794874e-14,2.7752828155901498e-08,3.1839365003276076e-22
s10695,5.964259205337932e-15,3.215931026086684e-08,1.9180646226069366e-22
s19310,2.24431648684448e-14,2.394554968046078e-08,5.374139193441169e-22
s8351,8.277296838584695e-15,5.702276700126873e-09,4.719943690269533e-23
s5804,1.7398721483918335e-14,2.7849814568738755e-08,4.845511670602568e-22
s4995,6.638648500547114e-15,3.943125354741152e-08,2.617702322372166e-22
s14749,6.847050291644505e-15,2.5753970268524374e-08,1.7633872963810372e-22
s2458,1.4284945165252002e-14,1.931126041898895e-08,2.7586029615715855e-22
s3716,6.658489152996363e-15,2.4931491066203646e-08,1.660060628323427e-22
s678,5.964703247108344e-15,2.569971815817934e-08,1.532911923478616e-22
s8432,1.139279540289931e-14,2.4347161557915563e-08,2.773822302706672e-22
s19627,1.0305308203186427e-14,3.4175571913114196e-08,3.5218980158480337e-22
s5458,2.441070268402384e-14,4.832657516532346e-08,1.1796856580978412e-21
s3885,2.0440151725421567e-14,2.0764022810962162e-08,4.2441977668618105e-22
s9707,5.24961454480444e-15,8.687916819156563e-09,4.5608214497895424e-23
s6650,1.4921611027785973e-14,4.473876056742045e-08,6.675743830522972e-22
s16835,9.866508673703234e-15,4.696062106632345e-09,4.633373750733711e-23
s17800,1.1982386496141883e-14,2.6886895720145725e-08,3.2216917620024912e-22
s14436,5.36868869105122e-15,3.9229226403993495e-08,2.106095041538078e-22
s15971,6.244393269074848e-15,2.694945811994421e-08,1.6828301488939414e-22
s8330,8.867372069948133e-15,1.8904660716703333e-08,1.676346604311408e-22
s16574,9.183765193433584e-15,3.875163879677974e-08,3.5588595157037626e-22
s9381,6.899814639220423e-15,3.2423932491814975e-08,2.237191240681197e-22
s10155,9.282828503416116e-15,1.0066555338810302e-08,9.344610683032395e-23
s3279,2.683344400654759e-14,2.942221022010997e-08,7.894992304901931e-22
s14449,1.083945969997404e-14,2.1314497237714358e-08,2.310376338334128e-22
s10925,5.307891143998137e-15,3.006401032774875e-08,1.5957649417172614e-22
s9929,5.296677290602239e-15,4.110542993389758e-08,2.1772219725131684e-22
s5430,8.100697709288328e-15,2.522279465903872e-08,2.0432223491632484e-22
s3787,8.279368086380374e-15,1.588066587603313e-08,1.3148187824449851e-22
s866,3.264961502607811e-14,4.858919822807163e-08,1.5864186165723355e-21
s1453,6.387570082050816e-15,3.459635330877315e-08,2.2098663134317913e-22
s10384,1.757338564423268e-14,2.50959069038122e-08,4.410200501124531e-22
s17715,1.5876939088515103e-14,2.1784753218936593e-08,3.458751999153896e-22
s5771,1.4898572868409213e-14,7.658159901739648e-09,1.1409565333399767e-22
s9340,6.338246681665887e-15,7.3718352334712706e-09,4.672451020633695e-23
s5924,6.302253832212624e-15,2.7199721864131458e-08,1.7141955135333998e-22
s11412,9.888853233873401e-15,3.430999893944501e-08,3.392865439665237e-22
s3054,8.517882353507647e-15,1.3219613447197615e-08,1.1260311210207696e-22
s13084,5.15508886857693e-15,2.1102622715603602e-08,1.0878589545898678e-22
s5293,6.207685419606456e-15,2.8960829265299324e-08,1.7977971756991056e-22
s16243,5.262104817979595e-15,1.1319707646498583e-08,5.956548814476065e-23
s16917,8.414542966406527e-15,2.5616486213623816e-08,2.1555102389289804e-22
s17872,9.896496600093094e-15,2.2498613361196955e-08,2.2265745063589472e-22
s7964,5.490317225373524e-15,2.0842960141264837e-08,1.1443446309136011e-22
s14625,9.50857287954429e-15,5.425527661200175e-09,5.1589025176505345e-23
s1084,8.165006495218146e-15,2.415404151750908e-08,1.972179058762304e-22
s1299,7.382695636910772e-15,2.6240478573734583e-08,1.9372546667676088e-22
s13751,6.344093596049991e-15,2.1160283499053826e-08,1.3424281903694966e-22
s19316,9.19686713753986e-15,2.1351343168603173e-08,1.963654663296627e-22
s7148,6.5882881721564814e-15,2.6875068030504687e-08,1.770606928312748e-22
s16228,1.013022853149153e-14,3.5398302868440045e-08,3.585928976842498e-22
s9521,6.396440956140257e-15,7.846139704358384e-09,5.0187369352556174e-23
s12078,8.885985180510695e-15,2.369436264954371e-08,2.1054775536549155e-22
s17216,5.896886065256589e-15,1.6645958403271988e-08,9.815932015109541e-23
s18815,8.291403752314418e-15,2.825472352890777e-08,2.3427132068819238e-22
s3602,9.292185943408034e-15,3.51176369779484e-08,3.263196126921983e-22
s19470,6.149476251307189e-15,9.942373999741209e-09,6.114039279302263e-23
s7128,1.4315989901836845e-14,2.768601216048036e-08,3.963526705115689e-22
s6587,9.295321614156354e-15,2.7474111056315327e-08,2.553806983314999e-22
s13810,7.687841339124205e-15,2.168557450073394e-08,1.6671525610940012e-22
s6153,2.2274606280131516e-14,1.65191556540919e-08,3.6795768827510545e-22
s10144,3.1844986381997845e-14,3.041308236748603e-08,9.685041938271714e-22
s11839,1.062226220931456e-14,1.841006574130657e-08,1.9555654559487742e-22
s19638,4.540204174071983e-15,2.076160439897761e-08,9.426192295266939e-23
s7335,9.607552652853064e-15,3.5746425040015604e-08,3.434356607232151e-22
s6992,7.982118685528586e-15,2.2235461552432187e-08,1.7748609313902142e-22
s7291,1.0955614456002423e-14,2.0631947076548338e-08,2.260356576473099e-22
s16377,6.298287114858966e-15,1.1687212485357613e-08,7.360941980514669e-23
s10961,5.5872237587326305e-15,2.2840678900386695e-08,1.2761598381782364e-22
s1981,6.498673665297296e-15,1.6471174978273236e-08,1.0704079106780804e-22
s3208,1.5199350538333368e-14,3.9481265693959856e-08,6.000895969795715e-22
s1067,1.0951081511343428e-14,2.070469051790026e-08,2.267387535286651e-22
s18297,7.531643428238374e-15,2.2656934027801346e-08,1.706439482745204e-22
s6874,2.0801381340953816e-14,4.94246450358603e-08,1.02810088903221e-21
s19659,5.3838337256556995e-15,8.514631955556468e-09,4.5841362683870653e-23
s11250,9.141768231435394e-15,4.963105288488894e-09,4.5371558255576767e-23
s13035,1.2747036585822014e-14,3.533364399040603e-08,4.503992526561158e-22
s2379,6.14235066878924e-15,3.1033347695721786e-08,1.9061770397358573e-22
s4349,2.274509675117562e-14,2.485804269671173e-08,5.653985861815628e-22
s17046,1.0363010667394535e-14,2.6137540163808338e-08,2.708636075369989e-22
s17100,1.522828806170051e-14,2.2026430523994575e-08,3.354248289904223e-22
s16042,6.519589299121577e-15,3.374709813970227e-08,2.200172199080086e-22
s3101,2.5547261650848914e-14,4.647253061833795e-08,1.187245899283767e-21
s17167,7.736212528554443e-15,2.0308585322880287e-08,1.5711153221208336e-22
s15760,9.292831950222234e-15,1.2188506983710636e-08,1.1326574712373303e-22
s947,1.1540073698257547e-14,2.1895147973440504e-08,2.526716212477578e-22
s19320,5.640616307405809e-15,7.687938266339982e-09,4.336470995544645e-23
s18165,1.4303945707141873e-14,2.873818363032655e-08,4.110694183700643e-22
s3665,6.76088850078303e-15,4.025414570413235e-08,2.72153790799913e-22
s12733,2.16996119254559e-14,1.5519003776072877e-08,3.3675635941046613e-22
s11528,1.0463116242405351e-14,3.0870344058912334e-08,3.2299999833144717e-22
s5781,9.72168484617751e-15,1.8732378431942797e-08,1.821102795346807e-22
s8034,1.0091278029785395e-14,3.8080936615531995e-08,3.842853190219682e-22
s1057,2.8692339036079756e-14,4.814199048609122e-08,1.3813063128986555e-21
s9456,4.6639445130975915e-15,2.3064949402378514e-08,1.0757364421009685e-22
s9109,1.3653537905629137e-14,3.091324921444923e-08,4.220752199356427e-22
s2200,1.850152717368354e-14,2.4074212424138463e-08,4.454096953502277e-22
s4593,2.0731723883597764e-14,1.2951596609050487e-08,2.6850892475057577e-22
s17287,1.0078125840664047e-14,3.8279720198053237e-08,3.8578783730138975e-22
s19625,7.334411246370077e-15,2.2079512045874556e-08,1.6194022146362593e-22
s19280,1.6521025013233416e-14,1.9960918525192892e-08,3.2977483424182607e-22
s4742,1.7083152823155893e-14,3.2876715812821626e-08,5.616379605538977e-22
s10347,1.5005032181483143e-14,2.4117837571122548e-08,3.6188892890247706e-22
s4299,8.401378780806126e-15,3.6396702363266275e-08,3.0578248292606146e-22
s6312,6.136638065137253e-15,1.643257856342074e-08,1.0084078712064615e-22
s10965,5.613741462279197e-15,9.066904408873946e-09,5.089925721461772e-23
s14947,4.700468713970882e-15,2.6769982936566118e-08,1.2583146726686338e-22
s12604,1.0867946906502165e-14,3.839089486637848e-08,4.1723020710090786e-22
s2212,3.197729266986539e-14,2.5949189886586885e-08,8.297848395493e-22
s1232,5.53739404303332e-15,1.815338840859484e-08,1.0052246483462318e-22
s9358,1.1143339209355386e-14,3.628347533660555e-08,4.0431907337007574e-22
s17532,5.37966095765177e-15,3.773745495590888e-08,2.0301471306744533e-22
